丁 	chō 	 – 	pair
世 	sei; se 	yo 	world
両 	ryō 	 – 	both
主 	shu 	nushi; omo-ni; omo-na 	master
乗 	jō 	no-ru 	ride
予 	yo 	 – 	in advance
事 	ji 	koto 	abstract thing
仕 	shi 	tsuka-eru 	serve
他 	ta 	hoka 	other
代 	dai; tai 	ka-waru; yo 	substitute
住 	jū 	su-mu 	dwell
使 	shi 	tsuka-u 	use
係 	kei 	kakari; kaka-ru 	person in charge
倍 	bai 	 – 	double
全 	zen 	matta-ku 	whole
具 	gu 	 – 	tool
写 	sha 	utsu-su; utsu-ru 	copy
列 	retsu 	 – 	row
助 	jo 	tasu-keru 	help
勉 	ben 	tsuto-meru 	diligence
動 	dō 	ugo-ku 	move
勝 	shō 	ka-tsu 	win
化 	ka 	ba-keru; ba-kasu 	disguise; -ification
区 	ku 	 – 	ward
医 	i 	 – 	doctor
去 	kyo or ko 	sa-ru 	leave
反 	han 	so-ru 	anti-
取 	shu 	to-ru 	take
受 	ju 	u-keru; u-karu 	receive
号 	gō 	 – 	number
向 	kō 	mu-kau; mu-ku; mu-kou 	face (v.)
君 	kun 	kimi 	you
味 	mi 	aji; aji-wau 	flavor
命 	mei 	inochi 	life
和 	wa 	 – 	peace; sum
品 	hin 	shina 	article
員 	in 	 – 	member
商 	shō 	 – 	commerce
問 	mon 	to-i; to-u; ton 	question
坂 	 – 	saka 	slope
央 	ō 	 – 	center
始 	shi 	haji-meru; haji-maru 	begin
委 	i 	yuda-neru 	committee
守 	shu 	mamo-ru 	protect
安 	an 	yasu-i 	cheap
定 	tei; jō 	sada-meru; sada-maru 	fix
実 	jitsu 	mi; mino-ru 	fruit; content
客 	kyaku 	 – 	guest
宮 	kyū 	miya 	Shinto shrine; prince (princess)
宿 	shuku 	yado; yado-ru 	inn
寒 	kan 	samu-i 	cold
対 	tai 	 – 	opposite
局 	kyoku 	 – 	office
屋 	oku 	ya 	premise
岸 	gan 	kishi 	shore
島 	tō 	shima 	island
州 	shū 	 – 	state
帳 	chō 	 – 	account book
平 	hei; byō 	tai-ra; hira 	flat
幸 	kō 	saiwa-i; shiawa-se 	happiness
度 	do 	 – 	degrees; occurrences
庫 	ko 	 – 	warehouse
庭 	tei 	niwa 	garden
式 	shiki 	 – 	style
役 	yaku 	 – 	role
待 	tai 	ma-tsu 	wait
急 	kyū 	iso-gu 	hurry
息 	soku 	iki 	breath
悪 	aku 	waru-i 	bad
悲 	hi 	kana-shii 	sad
想 	sō 	 – 	thought
意 	i 	 – 	idea
感 	kan 	 – 	feel
所 	sho 	tokoro 	place
打 	da 	u-tsu 	hit
投 	tō 	na-geru 	throw
拾 	 – 	hiro-u 	pick up
持 	ji 	mo-tsu 	hold
指 	shi 	yubi; sa-su 	finger
放 	hō 	hana-su; hana-tsu; hana-reru 	release
整 	sei 	totono-eru; totono-u 	put in order
旅 	ryo 	tabi 	trip
族 	zoku 	 – 	tribe
昔 	 – 	mukashi 	long ago
昭 	shō 	 – 	clear
暑 	sho 	atsu-i 	hot
暗 	an 	kura-i 	dark
曲 	kyoku 	ma-garu; ma-geru 	sheet music; crooked
有 	yū 	a-ru 	be; possession
服 	fuku 	 – 	clothes
期 	ki 	 – 	period of time
板 	han or ban 	ita 	board
