不 	fu; bu 	 – 	not
争 	sō 	araso-u 	conflict
付 	fu 	tsu-ku 	attach
令 	rei 	 – 	orders
以 	i 	 – 	since
仲 	chū 	naka 	go-between
伝 	den 	tsuta-eru 	transmit
位 	i 	kurai 	rank
低 	tei 	hiku-i 	low
例 	rei 	tato-eru 	example
便 	ben; bin 	tayo-ri 	convenience
信 	shin 	 – 	trust
倉 	sō 	kura 	storage
候 	kō 	 – 	climate
借 	shaku 	ka-riru 	borrow
停 	tei 	 – 	halt
健 	ken 	 – 	healthy
側 	soku 	kawa 	side
働 	dō 	hatara-ku 	work
億 	oku 	 – 	hundred million
兆 	chō 	kiza-shi 	portent; trillion
児 	ji; ni 	 – 	child
共 	kyō 	tomo 	together
兵 	hei; hyō 	tsuwamono 	soldier
典 	ten 	 – 	code
冷 	rei 	tsume-tai; hi-eru; sa-meru 	cool
初 	sho 	hatsu; haji-me 	first
別 	betsu 	waka-reru 	separate
利 	ri 	 – 	profit
刷 	satsu 	su-ru 	printing
副 	fuku 	 – 	vice-
功 	kō 	 – 	achievement
加 	ka 	kuwa-eru 	add
努 	do 	tsuto-meru 	toil
労 	rō 	negira-u 	labor
勇 	yū 	isa-mu 	courage
包 	hō 	tsutsu-mu 	wrap
卒 	sotsu 	 – 	graduate
協 	kyō 	 – 	cooperation
単 	tan 	 – 	simple
博 	haku 	 – 	Dr.
印 	in 	shirushi 	mark
参 	san 	mai-ru 	participate
史 	shi 	 – 	history
司 	shi 	 – 	director
各 	kaku 	ono-ono 	each
告 	koku 	tsu-geru 	tell
周 	shū 	mawa-ri 	circumference
唱 	shō 	tona-eru 	chant
喜 	ki 	yoroko-bu 	rejoice
器 	ki 	utsuwa 	container
囲 	i 	kako-u 	surround
固 	ko 	kata-maru 	harden
型 	kei 	kata 	model
堂 	dō 	 – 	public chamber
塩 	en 	shio 	salt
士 	shi 	 – 	gentleman
変 	hen 	ka-waru 	change
夫 	fu fuu bu 	otto 	husband
失 	shitsu 	ushina-u 	lose
好 	kō 	su-ku; kono-mu 	like
季 	ki 	 – 	seasons
孫 	son 	mago 	grandchild
完 	kan 	 – 	perfect
官 	kan 	 – 	government official
害 	gai 	 – 	harm
察 	satsu 	 – 	guess
巣 	sō 	su 	nest
差 	sa 	 – 	distinction
希 	ki 	mare 	hope
席 	seki 	 – 	seat
帯 	tai 	obi 	sash
底 	tei 	soko 	bottom
府 	fu 	 – 	urban prefecture
康 	kō 	 – 	ease
建 	ken 	ta-teru 	build
径 	kei 	 – 	diameter
徒 	to 	 – 	junior
得 	toku 	e-ru 	acquire
必 	hitsu 	kanara-zu 	without fail
念 	nen 	 – 	thought
愛 	ai 	 – 	love
成 	sei 	na-ru 	become
戦 	sen 	ikusa; tataka-u 	war
折 	setsu 	o-ru 	fold
挙 	kyo 	a-geru 	raise
改 	kai 	arata-meru 	reformation
救 	kyū 	suku-u 	salvation
敗 	hai 	yabu-reru 	failure
散 	san 	chi-ru 	scatter
料 	ryō 	 – 	fee
旗 	ki 	hata 	national flag
昨 	saku 	 – 	previous
景 	kei 	 – 	scenery
最 	sai 	mo; motto-mo 	most
望 	bō 	nozo-mu 	hope
未 	mi 	ima-da 	un-
末 	matsu 	sue 	end
札 	satsu 	fuda 	tag
材 	zai 	 – 	lumber
束 	soku 	taba; tsuka 	bundle
松 	shō 	matsu 	pine
果 	ka 	ha-tasu 	fruit; accomplish
栄 	ei 	saka-eru 	prosperity
案 	an 	 – 	plan
梅 	bai 	ume 	apricot
械 	kai 	 – 	contraption
極 	kyoku 	kiwa-meru 	poles
標 	hyō 	 – 	signpost
機 	ki 	hata 	machine
欠 	ketsu 	ka-keru 	lack
歴 	reki 	 – 	curriculum
残 	zan 	noko-ru 	remainder
殺 	satsu 	koro-su 	kill
毒 	doku 	 – 	poison
氏 	shi 	uji 	family name
民 	min 	tami 	people
求 	kyū 	moto-mu 	request
治 	chi or ji 	osa-meru; nao-ru 	govern
法 	hō 	 – 	method
泣 	kyū 	na-ku 	cry
浅 	sen 	asa-i 	shallow
浴 	yoku 	abi-ru 	bathe
清 	sei or shō 	kiyo-raka 	pure
満 	man 	mi-chiru 	full
漁 	ryō or gyō 	asa-ru 	fishing
灯 	tō 	hi 	lamp
無 	mu or bu 	na-i 	nothing
然 	zen or nen 	shika-shi 	so
焼 	shō 	ya-ku 	bake
照 	shō 	te-rasu 	illuminate
熱 	netsu 	atsu-i 	heat
牧 	boku 	maki 	breed
特 	toku 	 – 	special
産 	san 	u-mu 	give birth
的 	teki 	mato 	target
省 	sho or sei 	habu-ku 	government ministry
祝 	shuku 	iwa-u 	celebrate
票 	hyō 	 – 	ballot
種 	shu 	tane 	kind or seed
積 	seki 	tsu-mu 	accumulate
競 	kyō 	kiso-u 	emulate
笑 	shō 	wara-u 	laugh
管 	kan 	kuda 	pipe
節 	setsu 	fushi 	node
粉 	fun 	ko; kona 	flour
紀 	ki 	 – 	chronicle
約 	yaku 	 – 	promise
結 	ketsu 	musu-bu; yu-u 	tie
給 	kyū 	tama-u 	salary
続 	zoku 	tsudu-ku 	continue
置 	chi 	o-ku 	put
老 	rō 	o-iru 	old man
胃 	i 	 – 	stomach
脈 	myaku 	 – 	vein
腸 	chō 	 – 	intestines
臣 	shin 	 – 	retainer
航 	kō 	 – 	cruise
良 	ryō 	yo-i 	good
芸 	gei 	 – 	art
芽 	ga 	me 	bud
英 	ei 	 – 	England
菜 	sai 	na 	vegetable
街 	gai 	machi 	city
衣 	i 	koromo 	clothes
要 	yō 	i-ru 	need
覚 	kaku 	obo-eru; sa-meru 	memorize
観 	kan 	mi-ru 	observe
訓 	kun 	 – 	instruction
試 	shi 	kokoromi-ru; tame-su 	test
説 	setsu 	to-ku 	theory
課 	ka 	 – 	section
議 	gi 	 – 	deliberation
象 	zō or shō 	 – 	elephant
貨 	ka 	 – 	freight
貯 	cho 	ta-meru 	savings
費 	hi 	tsui-yasu 	expense
賞 	shō 	 – 	prize
軍 	gun 	 – 	army
輪 	rin 	wa 	wheel
辞 	ji 	ya-meru 	resign
辺 	hen 	ata-ri 	environs
連 	ren 	tsu-reru; tsura-neru 	take along
達 	 – 	tachi 	attain
選 	sen 	era-bu 	choose
郡 	gun 	 – 	county
量 	ryō 	 – 	quantity
録 	roku 	 – 	record
鏡 	kyō 	kagami 	mirror
関 	kan 	seki 	related
陸 	riku 	 – 	land
隊 	tai 	 – 	group
静 	sei 	shizu-ka 	quiet
順 	jun 	 – 	obey
願 	gan 	nega-u 	request
類 	rui 	 – 	sort
飛 	hi 	to-bu 	fly
飯 	han 	meshi 	meal
養 	yō 	yashina-u 	foster
験 	ken 	 – 	test
