久 	kyū 	hisa 	long time
仏 	hutsu; butsu 	hotoke 	Buddha
仮 	ka; ke 	kari 	sham
件 	ken 		affair
任 	nin 	maka-seru 	responsibility
似 	ji 	ni-ru 	becoming
余 	yo 	ama-ru 	too much
価 	ka 	atai 	value
保 	ho 	tamo-tsu 	preserve
修 	shū 	osa-meru 	discipline
俵 	hyō 	tawara 	straw bag
個 	ko 		individual
備 	bi 	sona-eru 	provide
像 	zō 		statue
再 	sai; sa 	futata-bi 	again
刊 	kan 		publish
判 	han 	waka-ru 	judge
制 	sei 		control
券 	ken 		ticket
則 	soku 	notto-ru 	rule
効 	kō 	ki-ku 	effect
務 	mu 	tsuto-meru 	duty
勢 	sei 	ikio-i 	power
厚 	kō 	atsu-i 	thick
句 	ku 		phrase
可 	ka 		possible
営 	ei 	itona-mu 	manage
因 	in 	yo-ru 	cause
団 	dan; ton 		group
圧 	atsu 		pressure
在 	zai 	a-ru 	exist
均 	kin 		level
基 	ki 	moto-duku 	foundation
報 	hō 	muku-iru 	report
境 	kyō 	sakai 	boundary
墓 	bo 	haka 	grave
増 	zō 	ma-su; fu-eru 	increase
夢 	mu 	yume 	dream
妻 	sai 	tsuma 	wife
婦 	fu 		lady
容 	yō 		contain
寄 	ki 	yo-ru 	approach
富 	fu 	tomi 	rich
導 	dō 	michibi-ku 	guide
居 	kyo 	i-ru 	reside
属 	zoku 		belong
布 	fu 	nuno 	linen
師 	shi 		expert
常 	jō 	tsune 	normal
幹 	kan 	miki 	tree-trunk
序 	jo 		preface
弁 	ben 		valve
張 	chō 	ha-ru 	stretch
往 	ō 		journey
復 	fuku 		repeating
徳 	toku 		virtue
志 	shi 	kokorozashi 	intention
応 	ō 		respond
快 	kai 	kokoroyo-i 	cheerful
性 	sei shō 	saga 	gender
恩 	on 		grace
情 	jō 	nasa-ke 	feelings
態 	tai 		condition
慣 	kan 	na-reru 	accustomed
承 	shō 	uketamawa-ru 	acquiesce
技 	gi 	waza 	skill
招 	shō 	mane-ku 	beckon
授 	ju 	sazu-keru 	instruct
採 	sai 	to-ru 	pick
接 	setsu 	ses-suru; tsu-gu 	contact
提 	tei 	sa-geru 	present
損 	son 	soko-neru 	loss
支 	shi 	sasa-eru 	branch
政 	sei 	matsurigoto 	politics
故 	ko 	yue 	circumstances
敵 	teki 	kataki 	enemy
断 	dan 	ta-tsu; kotowa-ru 	cut off
旧 	kyū 		old times
易 	eki 	yasa-shii 	easy
暴 	bō 	aba-ku 	outburst
条 	jō 		clause
枝 	shi 	eda 	branch
査 	sa 		investigate
格 	kaku 		status
桜 	ō 	sakura 	cherry
検 	ken 		examine
構 	kō 	kama-eru 	construct
武 	bu; mu 		military
比 	hi 	kura-beru 	compare
永 	ei 	naga-i 	eternity
河 	ka 	kawa 	river
液 	eki 		fluid
混 	kon 	ma-zaru 	mix
減 	gen 	he-ru 	decrease
測 	soku 	haka-ru 	fathom
準 	jun 		standard
演 	en 		perform
潔 	ketsu 	isagiyo-i 	undefiled
災 	sai 	wazawa-i 	disaster
燃 	nen 	mo-eru 	burn
版 	han 		printing block
犯 	han 	oka-su 	crime
状 	jō 		form
独 	doku 	hito-ri 	alone
率 	ritsu; sotsu 	hiki-iru 	rate
現 	gen 	arawa-reru 	appear
留 	ryū ru 	todo-maru 	detain
略 	ryaku 		abbreviation
益 	eki 		benefit
眼 	gan 	me 	eyeball
破 	ha 	yabu-ru 	rend
確 	kaku 	tashi-ka 	certain
示 	shi 	shime-su 	indicate
祖 	so 		ancestor
禁 	kin 		prohibition
移 	i 	utsu-ru 	shift
程 	tei 	hodo 	extent
税 	zei 		tax
築 	chiku 	kizu-ku 	fabricate
精 	sei 		refined
素 	su or so 	moto 	elementary
経 	kei; kyō 	he-ru 	manage
統 	tō 	su-beru 	unite
絶 	zetsu 	ta-tsu 	discontinue
綿 	men 	wata 	cotton
総 	sō 		whole
編 	hen 	a-mu 	compile
績 	seki 		exploits
織 	shiki 	o-ru 	weave
罪 	zai 	tsumi 	guilt
群 	gun 	mu-reru 	flock
義 	gi 		righteousness
耕 	kō 	tagaya-su 	till
職 	shoku 		employment
肥 	hi 	ko-yasu 	fertilizer
能 	nō 		ability
興 	kyō 	oko-su 	entertain
舌 	zetsu 	shita 	tongue
舎 	sha 		cottage
術 	jutsu 	sube 	art
衛 	ei 		defense
製 	sei 		manufacture
複 	fuku 		duplicate
規 	ki 		rule
解 	ge; kai 	to-ku 	untie
設 	setsu 	mouke-ru 	establish
許 	kyo 	yuru-su 	permit
証 	shō 	akashi 	evidence
評 	hyō 		evaluate
講 	kō 		lecture
謝 	sha 	ayama-ru 	apologize
識 	shiki 		discriminating
護 	go 	mamo-ru 	safeguard
豊 	hō 	yuta-ka 	bountiful
財 	zai 		wealth
貧 	hin 	mazushi-i 	poor
責 	seki 	se-meru 	blame
貸 	tai 	ka-su 	lend
貿 	bō 		trade
賀 	ga 		congratulations
資 	shi 		resources
賛 	san 		approve
質 	shitsu 		quality
輸 	yu 		transport
述 	jutsu 	no-beru 	mention
迷 	mei 	mayo-u 	astray
退 	tai 	shirizo-ku 	retreat
逆 	gyaku 	sakara-u 	inverted
造 	zō 	tsuku-ru 	create
過 	ka 	ayama-chi 	go beyond
適 	teki 		suitable
酸 	san 		acid
鉱 	kō 		mineral
銅 	dō 		copper
銭 	sen 	zeni 	coin
防 	bō 	fuse-gu 	prevent
限 	gen 	kagi-ru 	limit
険 	ken 	kewa-shii 	precipitous
際 	sai 	kiwa 	occasion
雑 	zatsu 		miscellaneous
非 	hi 	ara-zu 	negative
預 	yo 	azu-keru 	deposit
領 	ryō 		territory
額 	gaku 	hitai 	amount
飼 	shi 	ka-u 	domesticate
