並 	hei 	nami; nara-bu 	row
乱 	ran 	mida-reru 	riot
乳 	nyū 	chichi 	milk
亡 	bō 	na-kunaru 	deceased
仁 	jin 		kindness
供 	kyō; ku 	tomo 	offer
俳 	hai 		actor
値 	chi 	atai 	value
傷 	shō 	kizu 	wound
優 	yū 	yasa-shii 	superior
党 	tō 		political party
冊 	satsu 		counter for books
処 	sho 		dispose
刻 	koku 	kiza-mu 	engrave
割 	katsu 	wa-ru 	divide
創 	sō 	tsuku-ru 	create
劇 	geki 		drama
勤 	kin 	tsuto-meru 	diligence
危 	ki 	aya-ui 	dangerous
卵 	ran 	tamago 	egg
厳 	gen 	kibi-shii 	strict
収 	shū 	osa-meru 	take in
后 	gō 	kisaki 	queen
否 	hi 	ina; iya 	negate
吸 	kyū 	su-u 	suck
呼 	ko 	yo-bu 	call
善 	zen 	yo-i 	good
困 	kon 	koma-ru 	become distressed
垂 	sui 	ta-reru 	droop
城 	jō 	shiro 	castle
域 	iki 		range
奏 	sō 	kana-deru 	play music
奮 	hun 	huru-u 	stirred up
姿 	shi 	sugata 	shape
存 	son 		suppose
孝 	kō 		filial piety
宅 	taku 	ie 	home
宇 	u 		eaves
宗 	shū 	sō 	religion
宙 	chū 		mid-air
宝 	hō 	takara 	treasure
宣 	sen 	notama-u 	proclaim
密 	mitsu 		secrecy
寸 	sun 		measurement
専 	sen 	moppa-ra 	specialty
射 	sha 	i-ru 	shoot
将 	shō 		leader
尊 	son 	touto-bu 	revered
就 	shū 	tsu-ku 	concerning
尺 	shaku 		measure of length
届 		todo-ku 	deliver
展 	ten 		expand
層 	sō 		stratum
己 	ko 	onore 	self
巻 	kan 	ma-ku 	scroll
幕 	maku; baku 		curtain
干 	kan 	ho-su 	dry
幼 	yō 	osana-i 	infancy
庁 	chō 		government office
座 	za 	suwa-ru 	sit
延 	en 	no-basu 	prolong
律 	ritsu 		rhythm
従 	jū 	shitaga-u 	obey
忘 	bō 	wasu-reru 	forget
忠 	chū 		loyalty
憲 	ken 		constitution
我 	ga 	ware 	ego
批 	hi 		criticism
担 	tan 	nina-u 	shouldering
拝 	hai 	oga-mu 	worship
拡 	kaku 	hiro-geru 	broaden
捨 	sha 	su-teru 	throw away
探 	tan 	saga-su 	grope
推 	sui 		infer
揮 	ki 		command
操 	sō 	ayatsu-ru 	maneuver
敬 	kei 	uyama-u 	respect
映 	ei 	utsu-ru 	reflect
晩 	ban 		nightfall
暖 	dan 	atata-kai 	warmth
暮 	bo 	ku-rasu 	livelihood
朗 	rō 	hoga-raka 	melodious
机 	ki 	tsukue 	desk
枚 	mai 		sheet of…
染 	sen 	so-meru 	dye
株 	kabu 		stocks
棒 	bō 		rod
模 	mo; bo 		imitation
権 	ken 		rights
樹 	ju 	ki 	trees
欲 	yoku 	ho-shii 	longing
段 	dan 		steps
沿 	en 	so-u 	run alongside
泉 	sen 	izumi 	fountain
洗 	sen 	ara-u 	wash
派 	ha 		sect
済 	sai 	su-mu 	settle
源 	gen 	minamoto 	origin
潮 	chō 	shio 	tide
激 	geki 	hage-shii 	violent
灰 	kai 	hai 	ashes
熟 	juku 	u-reru 	ripen
片 	hen 	kata 	one-sided
班 	han 		group
異 	i 	koto-naru 	uncommon
疑 	gi 	utaga-u 	doubt
痛 	tsū 	ita-i 	pain
皇 	kō 	ō 	emperor
盛 	sei 	mo-ru 	prosper
盟 	mei 		alliance
看 	kan 		watch over
砂 	sa 	sha; suna 	sand
磁 	ji 		magnet
私 	shi 	watakushi; watashi 	me
秘 	hi 		secret
穀 	koku 		cereal
穴 	ketsu 	ana 	hole
窓 	sō 	mado 	window
筋 	kin 	suji 	muscle
策 	saku 		scheme
簡 	kan 		simplicity
糖 	tō 		sugar
系 	kei 		lineage
紅 	kō 	beni; kurenai 	deep red
納 	nō 	osa-meru 	settlement
純 	jun 		genuine
絹 	ken 	kinu 	silk
縦 	ju 	tate 	vertical
縮 	shuku 	chidi-mu 	shrink
署 	sho 		government office
翌 	yoku 		the following
聖 	sei 		holy
肺 	hai 		lung
背 	hai 	se 	back
胸 	kyō 	mune 	bosom
脳 	nō 		brain
腹 	fuku 	hara 	abdomen
臓 	zō 		entrails
臨 	rin 	nozo-mu 	lookover
至 	shi 	ita-ru 	climax
若 	jaku 	waka-i 	young
著 	cho 	arawa-su; ichijiru-shii 	renowned
蒸 	jō 	mu-su 	steam
蔵 	zō 	kura 	warehouse
蚕 	san 	kaiko 	silkworm
衆 	shū 		masses
裁 	sai 	saba-ku 	judge
装 	sō; shō 	yosoo-u 	attire
裏 	ri 	ura 	back
補 	ho 	ogina-u 	supplement
視 	shi 	mi-ru 	look at
覧 	ran 		perusal
討 	tō 	u-tsu 	chastise
訪 	hō 	otozu-reru 	visit
訳 	yaku 	wake 	translate
詞 	shi 	kotoba 	poetry
誌 	shi 		document
認 	nin 	mito-meru 	recognize
誕 	tan 		born
誠 	sei 	makoto 	sincerity
誤 	go 	ayama-ru 	mistake
論 	ron 		theory
諸 	sho 	moro 	everything
警 	kei 		guard against
貴 	ki 		precious
賃 	chin 		fare
遺 	i 		bequeath
郵 	yū 		mail
郷 	kyou 	gou 	home town
針 	shin 	hari 	needle
鋼 	kou 	hagane 	steel
閉 	hei 	shi-meru 	closed
閣 	kaku 		tall
降 	kou 	o-riru 	descend
陛 	hei 		majesty
除 	jo; ji 	nozo-ku 	exclude
障 	shou 	sawa-ru 	hurt
難 	nan 	muzuka-shii 	difficult
革 	kaku 	kawa 	leather
頂 	chou 	itada-ku 	place on the head
骨 	kotsu 	hone 	bone
